Date,State,Total Death,Total Vaccination,Pfizer,Sinovac,AstraZeneca,Sinopharm,CanSino,id,Code
2021-02,Johor,29,913,913,0,0,0,0,4.0,jhr
2021-02,Kedah,5,829,828,1,0,0,0,5.0,kdh
2021-02,Kelantan,8,162,162,0,0,0,0,6.0,kel
2021-02,Melaka,9,275,275,0,0,0,0,7.0,mlk
2021-02,Negeri Sembilan,10,1,0,1,0,0,0,8.0,ngs
2021-02,Pahang,4,2758,2758,0,0,0,0,9.0,phg
2021-02,Perak,12,1236,1233,2,1,0,0,11.0,prk
2021-02,Perlis,0,159,159,0,0,0,0,12.0,pls
2021-02,Pulau Pinang,5,343,343,0,0,0,0,10.0,png
2021-02,Sabah,49,1047,1047,0,0,0,0,13.0,sbh
2021-02,Sarawak,47,8168,8158,10,0,0,0,14.0,srw
2021-02,Selangor,130,469,468,1,0,0,0,15.0,slg
2021-02,Terengganu,7,474,474,0,0,0,0,16.0,tg
2021-02,W.P. Kuala Lumpur,57,1289,1289,0,0,0,0,1.0,kl
2021-02,W.P. Labuan,1,497,497,0,0,0,0,2.0,lb
2021-02,W.P. Putrajaya,2,101,101,0,0,0,0,3.0,pj
2021-03,Johor,9,53307,53029,277,1,0,0,4.0,jhr
2021-03,Kedah,3,42019,39527,2492,0,0,0,5.0,kdh
2021-03,Kelantan,3,37239,37239,0,0,0,0,6.0,kel
2021-03,Melaka,2,18640,18638,2,0,0,0,7.0,mlk
2021-03,Negeri Sembilan,1,33961,33949,12,0,0,0,8.0,ngs
2021-03,Pahang,3,47597,47597,0,0,0,0,9.0,phg
2021-03,Perak,4,64903,64898,5,0,0,0,11.0,prk
2021-03,Perlis,0,14197,13949,248,0,0,0,12.0,pls
2021-03,Pulau Pinang,4,42101,42098,3,0,0,0,10.0,png
2021-03,Sabah,19,67354,67340,10,0,0,4,13.0,sbh
2021-03,Sarawak,23,63479,60436,3043,0,0,0,14.0,srw
2021-03,Selangor,45,89461,87101,2360,0,0,0,15.0,slg
2021-03,Terengganu,2,36803,36802,1,0,0,0,16.0,tg
2021-03,W.P. Kuala Lumpur,19,64761,64755,6,0,0,0,1.0,kl
2021-03,W.P. Labuan,0,4190,4190,0,0,0,0,2.0,lb
2021-03,W.P. Putrajaya,0,8089,8085,4,0,0,0,3.0,pj
2021-04,Johor,13,72611,57166,15445,0,0,0,4.0,jhr
2021-04,Kedah,0,48854,38296,10558,0,0,0,5.0,kdh
2021-04,Kelantan,17,30942,25925,5017,0,0,0,6.0,kel
2021-04,Melaka,0,28764,23991,4773,0,0,0,7.0,mlk
2021-04,Negeri Sembilan,4,34560,30252,4308,0,0,0,8.0,ngs
2021-04,Pahang,2,47250,40043,7207,0,0,0,9.0,phg
2021-04,Perak,1,57765,49985,7780,0,0,0,11.0,prk
2021-04,Perlis,0,12917,12176,741,0,0,0,12.0,pls
2021-04,Pulau Pinang,5,56385,53076,3309,0,0,0,10.0,png
2021-04,Sabah,43,61979,59674,2305,0,0,0,13.0,sbh
2021-04,Sarawak,70,81533,65576,15957,0,0,0,14.0,srw
2021-04,Selangor,51,101268,82768,18500,0,0,0,15.0,slg
2021-04,Terengganu,1,24966,19975,4991,0,0,0,16.0,tg
2021-04,W.P. Kuala Lumpur,27,81771,71790,9980,1,0,0,1.0,kl
2021-04,W.P. Labuan,0,7889,6716,1173,0,0,0,2.0,lb
2021-04,W.P. Putrajaya,0,7510,3197,4313,0,0,0,3.0,pj
2021-05,Johor,170,149325,93740,55447,138,0,0,4.0,jhr
2021-05,Kedah,94,98144,74585,23461,98,0,0,5.0,kdh
2021-05,Kelantan,81,75182,49728,25454,0,0,0,6.0,kel
2021-05,Melaka,47,35790,28104,7686,0,0,0,7.0,mlk
2021-05,Negeri Sembilan,71,60371,49935,10436,0,0,0,8.0,ngs
2021-05,Pahang,28,82092,53635,28457,0,0,0,9.0,phg
2021-05,Perak,44,135664,90188,45473,2,0,1,11.0,prk
2021-05,Perlis,2,21753,19330,2423,0,0,0,12.0,pls
2021-05,Pulau Pinang,59,65177,54154,10945,78,0,0,10.0,png
2021-05,Sabah,35,98700,72588,26109,1,0,2,13.0,sbh
2021-05,Sarawak,114,162621,104880,57740,1,0,0,14.0,srw
2021-05,Selangor,382,218251,128577,37928,51746,0,0,15.0,slg
2021-05,Terengganu,23,61333,45698,15406,229,0,0,16.0,tg
2021-05,W.P. Kuala Lumpur,130,283072,78370,26016,178686,0,0,1.0,kl
2021-05,W.P. Labuan,9,12817,10479,2338,0,0,0,2.0,lb
2021-05,W.P. Putrajaya,1,17562,9601,7242,719,0,0,3.0,pj
2021-06,Johor,288,423102,245820,118754,58528,0,0,4.0,jhr
2021-06,Kedah,99,229414,134501,94539,373,0,1,5.0,kdh
2021-06,Kelantan,102,215090,104446,110522,122,0,0,6.0,kel
2021-06,Melaka,82,125864,52609,67710,5545,0,0,7.0,mlk
2021-06,Negeri Sembilan,259,150528,61889,88008,631,0,0,8.0,ngs
2021-06,Pahang,63,174614,94635,79300,679,0,0,9.0,phg
2021-06,Perak,41,273975,134402,134472,5101,0,0,11.0,prk
2021-06,Perlis,4,58641,42133,16508,0,0,0,12.0,pls
2021-06,Pulau Pinang,35,258877,100518,99983,58376,0,0,10.0,png
2021-06,Sabah,75,371204,246710,124018,476,0,0,13.0,sbh
2021-06,Sarawak,117,1097175,165315,886150,45709,0,1,14.0,srw
2021-06,Selangor,805,864590,265811,466145,132632,2,0,15.0,slg
2021-06,Terengganu,39,126013,62350,61654,2009,0,0,16.0,tg
